11 62 39000000 -122441856 37793186 $39.0M 15080873
33 78 14900000 -122408180 37804652 $14.9M 15063830
29 67 12000000 -122414331 37797145 $12.0M 82382387
22 58 9700000 -122424373 37790666 $9.7M 15074834
-20 56 8500000 -122488457 37788941 $8.5M 116587629
9 78 9500000 -122444764 37805160 $9.5M 15079531
23 69 7500000 -122423690 37798120 $7.5M 2105261929
5 56 7200000 -122450438 37789313 $7.2M 15081759
15 40 6900000 -122435912 37777434 $6.9M 15078107
-4 -21 6500000 -122465029 37733187 $6.5M 15138955
17 39 6400000 -122432220 37776750 $6.4M 2105024478
9 58 6400000 -122444072 37790771 $6.4M 15081305
30 61 5950000 -122411798 37792984 $5.95M 15067978
18 66 5700000 -122430538 37796069 $5.7M 15072303
23 55 5600000 -122423431 37788494 $5.6M 2103289434
16 -4 5500000 -122434112 37745414 $5.5M 2108852316
8 72 5500000 -122446576 37800314 $5.5M 53153233
42 -27 5250000 -122394040 37729360 $5.25M 2129942683
18 -14 5200000 -122430908 37738218 $5.2M 15200264
6 55 5200000 -122448453 37788339 $5.2M 15082182
25 73 5150000 -122419433 37801365 $5.15M 80732778
-20 -11 5000000 -122487996 37740372 $5.0M 15123702
14 5 5000000 -122436107 37752444 $5.0M 15131634
12 56 4980000 -122439706 37789387 $4.98M 15082016
12 72 4400000 -122439855 37800989 $4.4M 15070723
-2 -15 4250000 -122461625 37737602 $4.25M 15136727
8 22 4250000 -122446068 37764772 $4.25M 2109252054
14 41 4250000 -122436880 37778031 $4.25M 2104286775
34 63 4120000 -122405478 37793782 $4.12M 2133724745
-1 57 4099999 -122459010 37789542 $4.1M 15080939
31 36 4000000 -122411285 37774677 $4.0M 2105284679
-6 53 3990000 -122467735 37786746 $3.99M 2103541411
-2 -16 3510000 -122461500 37736903 $3.51M 121837186
-3 -18 3440000 -122463448 37735920 $3.44M 118237721
24 63 3400000 -122420741 37794501 $3.4M 15073742
-7 -19 3390000 -122469057 37734588 $3.39M 117269052
41 58 3700000 -122396190 37790730 $3.7M 114317160
7 72 3250000 -122447293 37800948 $3.25M 15079942
23 77 3600000 -122422668 37804223 $3.6M 15070495
11 44 3600000 -122440964 37780735 $3.6M 2103987043
33 23 3500000 -122407177 37765511 $3.5M 15148825
16 6 3500000 -122433544 37753178 $3.5M 15146410
10 12 3490000 -122443419 37757211 $3.49M 64969129
19 16 3400000 -122429741 37759844 $3.4M 15144553
17 68 3400000 -122431656 37797618 $3.4M 2103304804
-21 51 3400000 -122489627 37785302 $3.4M 15088829
23 73 3400000 -122422356 37801353 $3.4M 2104623775
11 50 3300000 -122441138 37784869 $3.3M 2139044128
19 65 3300000 -122429168 37795791 $3.3M 2110030795
-17 52 3250000 -122484785 37786010 $3.25M 15089011
13 -9 3200000 -122438260 37742365 $3.2M 15199754
12 78 3200000 -122439650 37804909 $3.2M 15069883
21 -13 3200000 -122426554 37739149 $3.2M 15183965
15 -6 3150000 -122435862 37744191 $3.15M 15199473
-11 53 2730000 -122474753 37786644 $2.73M 121671340
12 69 2690000 -122440402 37798608 $2.69M 15071222
29 10 3050000 -122413965 37755902 $3.05M 15145838
5 52 3000000 -122450034 37785877 $3.0M 15083004
15 25 3000000 -122434768 37766814 $3.0M 15142897
26 72 3000000 -122419005 37800944 $3.0M 80753548
15 14 3000000 -122435161 37759030 $3.0M 15129315
22 79 3000000 -122424812 37805427 $3.0M 2104274881
17 -7 3000000 -122432560 37743901 $3.0M 15183258
15 33 3000000 -122434985 37772198 $3.0M 80742218
7 17 3000000 -122446788 37761104 $3.0M 53153325
-2 -5 2620000 -122461367 37744840 $2.62M 121640325
-2 -17 2950000 -122461440 37736563 $2.95M 15136722
5 29 2950000 -122450179 37769359 $2.95M 15086958
23 22 2950000 -122422729 37764251 $2.95M 2103297052
11 2 2900000 -122441322 37750363 $2.9M 15180005
11 2 2900000 -122441322 37750366 $2.9M 2103640431
-2 38 2880000 -122461257 37775749 $2.88M 2103540473
43 52 2820000 -122392700 37785999 $2.82M 2104833493
13 54 2800000 -122438665 37787905 $2.8M 15075239
11 76 2800000 -122441562 37803517 $2.8M 15069979
10 69 2750000 -122442947 37798566 $2.75M 15080234
-1 -16 2390000 -122459346 37737314 $2.39M 122723863
45 13 2700000 -122389547 37757988 $2.7M 2146793089
39 22 2700000 -122398353 37764493 $2.7M 15148916
27 74 2370000 -122416906 37802050 $2.37M 15064686
-2 38 2680000 -122461260 37775749 $2.68M 15098473
13 5 2300000 -122437576 37752446 $2.3M 15131692
-3 52 2600000 -122463242 37786045 $2.6M 15089608
11 -18 2600000 -122441558 37735348 $2.6M 119685042
13 41 2600000 -122438122 37778163 $2.6M 15085049
8 24 2280000 -122446353 37765626 $2.28M 116587627
0 -9 2280000 -122458083 37742082 $2.28M 15133094
12 32 2550000 -122439786 37772090 $2.55M 15086447
28 69 2550000 -122415218 37798451 $2.55M 15066395
1 44 2500000 -122456408 37780379 $2.5M 15084517
23 8 2500000 -122422598 37754647 $2.5M 15146691
44 56 2500000 -122391698 37789333 $2.5M 2104083242
28 31 2500000 -122415375 37770782 $2.5M 2103819061
18 32 2500000 -122431114 37771667 $2.5M 2104531232
22 70 2500000 -122424412 37799423 $2.5M 2103317981
18 11 2500000 -122431276 37756535 $2.5M 15145337
-14 43 2490000 -122480081 37779754 $2.49M 15093981
-2 -16 2480000 -122461944 37737312 $2.48M 15136713
27 15 2400000 -122416564 37759165 $2.4M 15144829
18 34 2400000 -122430344 37773217 $2.4M 2146740367
-9 10 2400000 -122471304 37756006 $2.4M 15111431
13 41 2400000 -122438190 37778501 $2.4M 15085051
2 48 2390000 -122454806 37783058 $2.39M 15083405
-4 -15 2300000 -122464719 37738158 $2.3M 15138168
20 -11 2300000 -122427429 37740474 $2.3M 2109110766
9 3 2300000 -122444216 37750853 $2.3M 15132172
-2 -23 2300000 -122461312 37732003 $2.3M 15137394
-11 46 2300000 -122475504 37781614 $2.3M 15091845
-4 -6 2280000 -122463546 37744232 $2.28M 15133303
9 50 2280000 -122444020 37784820 $2.28M 2129501272
30 76 2250000 -122411792 37803563 $2.25M 15064436
21 73 2250000 -122425998 37801675 $2.25M 15070862
-24 42 2240000 -122495058 37778730 $2.24M 15093538
17 20 2220000 -122432703 37763421 $2.22M 15143758
-1 -17 1960000 -122460314 37736289 $1.96M 121035042
23 -6 2200000 -122423652 37744439 $2.2M 15183127
33 64 2200000 -122407800 37794715 $2.2M 15067580
21 11 2200000 -122426010 37756270 $2.2M 15146109
0 -14 2150000 -122458439 37738582 $2.15M 15135195
38 16 2150000 -122400875 37760561 $2.15M 15149867
33 -2 2150000 -122408223 37747346 $2.15M 15159805
13 1 2100000 -122438152 37749248 $2.1M 15181159
11 76 2100000 -122441125 37803768 $2.1M 2108262645
21 47 2100000 -122426624 37782613 $2.1M 15077491
37 15 2100000 -122401000 37759610 $2.1M 2103733491
17 25 2100000 -122432376 37766959 $2.1M 15142961
8 21 2100000 -122445384 37763896 $2.1M 15127799
20 76 2100000 -122426978 37803466 $2.1M 52528846
-20 51 2100000 -122487964 37785332 $2.1M 15090499
-3 -14 2049999 -122462108 37738271 $2.05M 15136708
9 38 1760000 -122444385 37776304 $1.76M 15085481
-1 -18 2000000 -122460137 37735969 $2.0M 15135242
-20 -81 2000000 -122488061 37689801 $2.0M 15465575
32 15 2000000 -122409840 37759840 $2.0M 2105095668
10 7 2000000 -122442189 37753626 $2.0M 15130606
3 20 2000000 -122453568 37763417 $2.0M 15127904
14 9 2000000 -122436355 37755488 $2.0M 15130771
11 13 2000000 -122440613 37758081 $2.0M 15129818
10 12 2000000 -122442999 37757076 $2.0M 15129895
32 43 2000000 -122408782 37779529 $2.0M 2103807804
46 31 2000000 -122388247 37771190 $2.0M 115828709
-2 51 2000000 -122461563 37785617 $2.0M 2103541956
-2 51 2000000 -122461533 37785160 $2.0M 2103773785
38 8 1980000 -122400651 37754230 $1.98M 2103471528
8 74 1950000 -122445950 37801779 $1.95M 15079920
12 54 1950000 -122439824 37787969 $1.95M 2114226686
17 20 1950000 -122431770 37763244 $1.95M 15143732
29 5 1940000 -122414390 37752086 $1.94M 15180458
-9 45 1940000 -122471675 37781175 $1.94M 2104087039
-8 39 1700000 -122471044 37777145 $1.7M 120917765
20 -11 1900000 -122428075 37740913 $1.9M 15183699
17 32 1900000 -122432677 37772073 $1.9M 15078964
44 56 1900000 -122390976 37789375 $1.9M 2103958827
18 17 1900000 -122430072 37760961 $1.9M 69819101
14 31 1900000 -122436668 37771055 $1.9M 2143999563
-9 45 1900000 -122471718 37781209 $1.9M 2104087095
-7 41 1900000 -122468697 37778097 $1.9M 15094901
-7 11 1900000 -122468645 37756672 $1.9M 15109743
-5 17 1890000 -122465800 37760740 $1.89M 2103750059
19 -37 1850000 -122428894 37721611 $1.85M 15170705
24 68 1820000 -122421735 37798110 $1.82M 15072144
17 63 1820000 -122431820 37793994 $1.82M 15073242
15 -13 1590000 -122434788 37739095 $1.59M 116660639
16 71 1800000 -122433574 37800262 $1.8M 2103488036
20 76 1800000 -122426927 37803321 $1.8M 50124767
25 17 1800000 -122419826 37760831 $1.8M 15144719
39 15 1800000 -122398821 37759341 $1.8M 15150649
27 -12 1800000 -122416871 37740033 $1.8M 15162429
41 47 1800000 -122395200 37782550 $1.8M 2103288282
-9 6 1800000 -122471321 37752768 $1.8M 15112045
18 18 1580000 -122429915 37761381 $1.58M 122094884
13 9 1800000 -122437961 37755252 $1.8M 15130669
-3 19 1580000 -122462970 37762340 $1.58M 123028117
20 36 1540000 -122428352 37774979 $1.54M 116587611
28 -57 1750000 -122414725 37707471 $1.75M 2106964616
25 13 1750000 -122420633 37757941 $1.75M 15145656
21 36 1750000 -122425364 37774616 $1.75M 2104687448
42 47 1750000 -122394241 37782901 $1.75M 2103466053
16 -16 1750000 -122433583 37736830 $1.75M 15184629
27 16 1750000 -122417532 37760155 $1.75M 15144857
13 73 1720000 -122438621 37801418 $1.72M 54854311
38 12 1510000 -122400228 37757349 $1.51M 122144436
-6 -6 1500000 -122466679 37744446 $1.5M 116660247
2 41 1500000 -122455622 37778216 $1.5M 116587623
23 24 1700000 -122423023 37766061 $1.7M 15143233
9 20 1700000 -122444503 37762922 $1.7M 15127760
-20 5 1690000 -122488376 37751988 $1.69M 15112791
13 70 1680000 -122437849 37799042 $1.68M 111927591
9 11 1680000 -122444686 37756774 $1.68M 2106316243
-18 38 1680000 -122484936 37776326 $1.68M 2103562711
35 -2 1680000 -122405373 37746960 $1.68M 15160406
-12 46 1680000 -122475938 37781869 $1.68M 15091867
22 28 1650000 -122424791 37768801 $1.65M 54854588
26 76 1650000 -122417964 37803781 $1.65M 15063628
-22 37 1440000 -122492244 37775320 $1.44M 122208127
22 -15 1430000 -122424342 37737954 $1.43M 15184222
-2 -21 1430000 -122461545 37733374 $1.43M 15137322
12 25 1430000 -122440174 37766421 $1.43M 122654844
15 9 1600000 -122435873 37754966 $1.6M 64972386
15 2 1600000 -122434964 37749878 $1.6M 15180987
6 18 1600000 -122448460 37761790 $1.6M 2105095607
6 22 1600000 -122449593 37764687 $1.6M 15088089
21 -4 1600000 -122426345 37745885 $1.6M 15182637
11 8 1600000 -122441427 37754729 $1.6M 15130531
42 6 1600000 -122393743 37752966 $1.6M 2123610202
15 10 1600000 -122435409 37755849 $1.6M 15130820
15 41 1600000 -122434859 37778288 $1.6M 82785516
45 57 1600000 -122389765 37789800 $1.6M 15147556
46 32 1600000 -122388458 37771587 $1.6M 116089862
30 6 1390000 -122412605 37752819 $1.39M 122094885
10 21 1550000 -122442192 37763465 $1.55M 2103555280
37 13 1550000 -122401790 37757770 $1.55M 2103344844
29 37 1350000 -122414436 37775157 $1.35M 80733450
12 1 1520000 -122439920 37749230 $1.52M 2108200197
-32 21 1340000 -122506622 37763883 $1.34M 121671341
20 63 1320000 -122426980 37794105 $1.32M 118569063
14 -58 1500000 -122437357 37706424 $1.5M 15604786
20 -7 1500000 -122427500 37743359 $1.5M 15183373
44 15 1500000 -122390861 37759689 $1.5M 111711257
23 20 1500000 -122423205 37763096 $1.5M 2124543463
18 23 1500000 -122429950 37765240 $1.5M 2128800092
44 40 1500000 -122391685 37777526 $1.5M 79846074
-14 35 1500000 -122479675 37774161 $1.5M 15099332
33 3 1500000 -122406997 37750701 $1.5M 2104170865
16 13 1500000 -122434280 37757881 $1.5M 2129176472
30 37 1500000 -122411796 37775623 $1.5M 69820048
13 5 1500000 -122437640 37752129 $1.5M 15131673
16 -8 1500000 -122433587 37742740 $1.5M 2142475251
28 2 1500000 -122415695 37750011 $1.5M 2103349758
31 36 1500000 -122411476 37774532 $1.5M 2126185799
-3 49 1500000 -122463100 37784112 $1.5M 15091481
17 35 1500000 -122432729 37774113 $1.5M 2132776485
2 -18 1480000 -122455260 37735342 $1.48M 15136454
8 70 1480000 -122445292 37799336 $1.48M 15080194
-11 -29 1300000 -122474380 37727919 $1.3M 122968287
29 1 1470000 -122413344 37749486 $1.47M 54854762
41 45 1460000 -122395070 37781016 $1.46M 80742575
14 5 1280000 -122437135 37752474 $1.28M 116660242
9 -60 1450000 -122444394 37705475 $1.45M 111436720
9 41 1450000 -122444709 37778230 $1.45M 79842388
-6 12 1270000 -122467239 37757217 $1.27M 116587665
-11 40 1440000 -122475616 37777465 $1.44M 2103507298
16 22 1250000 -122434281 37764435 $1.25M 116660280
31 23 1420000 -122410830 37765531 $1.42M 2103714020
5 40 1250000 -122450261 37777602 $1.25M 116587625
2 -23 1250000 -122454448 37731787 $1.25M 15138329
13 -21 1400000 -122438346 37733651 $1.4M 15185723
20 -16 1400000 -122428163 37737311 $1.4M 15184404
27 14 1400000 -122417217 37759047 $1.4M 15144838
36 66 1400000 -122402930 37796020 $1.4M 2127228402
39 48 1400000 -122399084 37783184 $1.4M 15147681
29 12 1400000 -122414000 37757430 $1.4M 2103338367
-33 13 1400000 -122508202 37758259 $1.4M 2104185511
-3 46 1400000 -122462959 37782111 $1.4M 15091641
27 -12 1400000 -122416980 37739780 $1.4M 2132290445
6 22 1400000 -122449351 37764257 $1.4M 59779456
23 68 1390000 -122423058 37797981 $1.39M 2104179474
19 22 1220000 -122429490 37764865 $1.22M 119560755
15 -3 1220000 -122435608 37746272 $1.22M 15182256
-8 -36 1390000 -122470106 37722649 $1.39M 15187519
